98,10629383410148822,26406,-6869,1070,1166235,7161971,-5706,3485,-7435,-2410,-8454,-4765
69,10632024809835772,27679,-221,1011,553570,2481132,-9441,2048,2580,-8913,1107,4396
69,10632029737813340,27679,-221,1011,553570,2481132,-9441,2048,2580,-8913,1107,4396
19,10633811911716270,26416,-6156,258,141603,523633,7167,1041,6895,3463,-7555,5560
67,10634726820637202,26679,-578,197,170867,685864,1416,-1141,-9833,8312,-1441,-5369
67,10634731737624712,26679,-580,194,140437,607509,2074,-855,-9744,9661,2063,-1549
66,10634732514566388,27813,-558,67,142069,1233916,-5400,-636,8392,-158,-7878,6156
75,10634735140223609,26254,-1097,-154,82907,837089,-539,9671,2485,7827,6169,-816
67,10634736654612317,26679,-580,192,150530,668588,2205,-473,-9742,9189,3206,-2296
66,10634737426529044,27813,-558,69,121712,1513838,-2211,-52,9752,7855,-3696,4961
65,10634738740592737,28258,-893,439,53656,885053,5930,450,8038,8042,5909,-626
75,10634740108248464,26253,-1098,-156,65275,1074769,2564,8481,4635,9999,15,76
67,10634741571599146,26678,-581,191,124092,604942,-213,461,-9987,-4432,8936,705
66,10634742338491490,27811,-558,72,141467,1351392,-2986,-891,9501,5289,-5963,6038
65,10634743644610012,28259,-893,443,72231,735242,5443,-1940,8161,9913,1255,371
75,10634745076273369,26252,-1098,-159,75571,644954,-51,8691,4944,9203,3733,1166
40,10634745596635883,27230,-481,1506,106878,690961,4375,1495,-8866,6973,7161,290
98,10634745596635883,27230,-481,1506,1166235,690961,4375,1495,-8866,6973,7161,290
63,106347455966358832,26406,-6869,1070,3055587,7161971,-5706,3485,-7435,-2410,-8454,-4765
98,150634749596635884,26406,-6869,1070,3055587,7161971,-5706,3485,-7435,-2410,-8454,-4765
63,150634749596635885,26406,-6869,1070,3055587,7161971,-5706,3485,-7435,-2410,-8454,-4765
98,150634749596635887,27230,-481,1506,1166235,690961,4375,1495,-8866,6973,7161,290
63,150634749596635888,26406,-6869,1070,3055587,7161971,-5706,3485,-7435,-2410,-8454,-4765
98,150634749596635889,26406,-6869,1070,3055587,7161971,-5706,3485,-7435,-2410,-8454,-4765
